,0
29848,0.5683791041374207
29849,0.6023865938186646
29850,0.5545192956924438
29851,0.6412627100944519
29852,0.5056920051574707
29853,0.5266701579093933
29854,0.5408480763435364
29855,0.6053900122642517
29856,0.5356281399726868
29857,0.5919912457466125
29858,0.5269473791122437
29859,0.49618276953697205
29860,0.6120108962059021
29861,0.5337806344032288
29862,0.4741148054599762
29863,0.5953683853149414
29864,0.5274442434310913
29865,0.6658800840377808
29866,0.5445119142532349
29867,0.5386462807655334
29868,0.6277809143066406
29869,0.6048510670661926
29870,0.5666928291320801
29871,0.5406474471092224
29872,0.5574254989624023
29873,0.508023738861084
29874,0.5411065816879272
29875,0.6021015048027039
29876,0.58737713098526
29877,0.5327427387237549
29878,0.5059527158737183
29879,0.5268483757972717
29880,0.5547463297843933
29881,0.6310887336730957
29882,0.519193708896637
29883,0.5989899635314941
29884,0.45727571845054626
29885,0.5398266315460205
29886,0.519302487373352
29887,0.6622583270072937
29888,0.5292074084281921
29889,0.5388150811195374
29890,0.5653335452079773
29891,0.5929834842681885
29892,0.5054222941398621
29893,0.5250342488288879
29894,0.5930339694023132
29895,0.6211498975753784
29896,0.5883305072784424
29897,0.5127801895141602
29898,0.5171046853065491
29899,0.5495054125785828
29900,0.564189612865448
29901,0.5394452214241028
29902,0.5441017150878906
29903,0.5882020592689514
29904,0.5363168716430664
29905,0.6089781522750854
29906,0.5483254194259644
29907,0.5564497113227844
29908,0.5485737919807434
29909,0.6153878569602966
29910,0.6169397830963135
29911,0.5982549786567688
29912,0.4555426239967346
29913,0.4533749520778656
29914,0.4658987820148468
29915,0.4291938841342926
29916,0.4331154525279999
29917,0.4796261787414551
29918,0.441232293844223
29919,0.47426608204841614
29920,0.4676322937011719
29921,0.4933454394340515
29922,0.45139116048812866
29923,0.43517589569091797
29924,0.4388960599899292
29925,0.48516592383384705
29926,0.46772339940071106
29927,0.45067986845970154
29928,0.45909401774406433
29929,0.4979378879070282
29930,0.4694749116897583
29931,0.45874151587486267
29932,0.4693254232406616
29933,0.44568246603012085
29934,0.47809138894081116
29935,0.4478291869163513
29936,0.4514369070529938
29937,0.44106045365333557
29938,0.4715442359447479
29939,0.4432348608970642
29940,0.4655841290950775
29941,0.46483513712882996
29942,0.45115116238594055
29943,0.48660653829574585
29944,0.46212950348854065
29945,0.4731267988681793
29946,0.44551753997802734
29947,0.4397619664669037
29948,0.43595513701438904
29949,0.4322546720504761
29950,0.44569504261016846
29951,0.4865213632583618
29952,0.4576820433139801
29953,0.5065075159072876
29954,0.5168747901916504
29955,0.4711487889289856
29956,0.48202812671661377
29957,0.4947553277015686
29958,0.4482978284358978
29959,0.4543675482273102
29960,0.484209269285202
29961,0.4682419002056122
29962,0.43961450457572937
29963,0.45798105001449585
29964,0.44312208890914917
29965,0.4427510201931
29966,0.45509907603263855
29967,0.4602254331111908
29968,0.4416787326335907
29969,0.45087504386901855
29970,0.4363063871860504
29971,0.4655323028564453
29972,0.4775848090648651
29973,0.4477747082710266
29974,0.46888941526412964
29975,0.4649847745895386
29976,0.4511752724647522
29977,0.48311683535575867
29978,0.44191238284111023
29979,0.4876476228237152
29980,0.4468453526496887
29981,0.4571007192134857
29982,0.44371068477630615
29983,0.4534246027469635
29984,0.4562866687774658
29985,0.43973761796951294
29986,0.46493610739707947
29987,0.5219713449478149
29988,0.44457870721817017
29989,0.39969924092292786
29990,0.43403130769729614
29991,0.4587398171424866
29992,0.46343427896499634
29993,0.48289573192596436
29994,0.48532456159591675
29995,0.4711942970752716
29996,0.4699140191078186
29997,0.4416816234588623
29998,0.4396359920501709
29999,0.4350547790527344
30000,0.4406644403934479
30001,0.4825831651687622
30002,0.45777609944343567
30003,0.4489037096500397
30004,0.4328281581401825
30005,0.4977310597896576
30006,0.4191347360610962
30007,0.4459521472454071
30008,0.4669616222381592
30009,0.46738994121551514
30010,0.4153854548931122
30011,0.45100024342536926
30012,0.44566264748573303
30013,0.45621639490127563
30014,0.4689737856388092
30015,0.4342189431190491
30016,0.45327818393707275
30017,0.46229708194732666
30018,0.42226752638816833
30019,0.4814777672290802
30020,0.439143568277359
30021,0.5193326473236084
30022,0.4547208249568939
30023,0.44503164291381836
30024,0.45529904961586
30025,0.45656561851501465
30026,0.4568115770816803
30027,0.4525659680366516
30028,0.44404441118240356
30029,0.467388778924942
30030,0.4953337609767914
30031,0.4437870681285858
30032,0.4751693904399872
30033,0.48211073875427246
30034,0.44376006722450256
30035,0.44315141439437866
30036,0.4489089846611023
30037,0.48315879702568054
30038,0.45482712984085083
30039,0.4686630964279175
30040,0.43537116050720215
30041,0.45707669854164124
30042,0.42938336730003357
30043,0.4747333824634552
30044,0.44904857873916626
30045,0.4489562213420868
30046,0.4724849760532379
30047,0.4810994565486908
30048,0.49796831607818604
30049,0.45006003975868225
30050,0.44568178057670593
30051,0.45324942469596863
30052,0.4482682943344116
30053,0.45454731583595276
30054,0.4258933663368225
30055,0.43950939178466797
30056,0.46161678433418274
30057,0.5136469602584839
30058,0.45188426971435547
30059,0.43443864583969116
30060,0.483341246843338
30061,0.4540805518627167
30062,0.47415006160736084
30063,0.4595215916633606
30064,0.4599371552467346
30065,0.43591800332069397
30066,0.44205281138420105
30067,0.45235663652420044
30068,0.5079519152641296
30069,0.469013512134552
30070,0.4366779625415802
30071,0.46613824367523193
30072,0.4791237711906433
30073,0.45400241017341614
30074,0.42521601915359497
30075,0.44382455945014954
30076,0.44088640809059143
30077,0.46818116307258606
30078,0.43714436888694763
30079,0.4849194586277008
30080,0.45592451095581055
30081,0.46318963170051575
30082,0.4596269428730011
30083,0.4529874920845032
30084,0.4901418387889862
30085,0.4450560510158539
30086,0.4427686035633087
30087,0.46597760915756226
30088,0.48070764541625977
30089,0.43624764680862427
30090,0.4584362804889679
30091,0.4447754919528961
30092,0.4498564302921295
30093,0.4682813286781311
30094,0.4538939297199249
30095,0.43769630789756775
30096,0.4510956406593323
30097,0.44526249170303345
30098,0.4440670609474182
30099,0.47425612807273865
30100,0.45023125410079956
30101,0.43404966592788696
30102,0.4646170139312744
30103,0.4802290201187134
30104,0.442680686712265
30105,0.4645453095436096
30106,0.4414852261543274
30107,0.46136176586151123
30108,0.4667663872241974
