group,n,n_actual_fraud,approval_rate,false_negative_rate
<30d (new),7,0,0.2857142857142857,
30-90d,1,0,1.0,
90-365d,129,12,0.5503875968992248,0.4166666666666667
>365d (established),29923,2538,0.5940915015205694,0.4393223010244287
