model,brier_raw,brier_platt,brier_isotonic,threshold_raw,cost_raw,threshold_isotonic,cost_isotonic
logistic_regression,0.24421566454657329,0.07603917887950369,0.07601288396791164,0.47000000000000003,101719200.0,0.08,101780800.0
random_forest,0.17182327610984302,0.07645139534148654,0.07638129773566281,0.39,107843200.0,0.08,107794000.0
xgboost,0.1851213217548468,0.07664900862734243,0.07658215044278972,0.02,110053200.0,0.04,110040400.0
