method,pr_auc,roc_auc
class_weighting,0.08354388903773789,0.5057830394956916
class_weighting,0.09159687789437879,0.5187648381276175
class_weighting,0.1056054426370103,0.5403550434998914
class_weighting,0.10614246343906741,0.5598077750549755
class_weighting,0.10454064879127509,0.5591594785496896
smote_correct_inside_fold,0.09729186659787559,0.5524034737423427
smote_correct_inside_fold,0.0991934258187351,0.5462843174364038
smote_correct_inside_fold,0.11000401040405003,0.5535902159556845
smote_correct_inside_fold,0.09654980608844016,0.5465901335426249
smote_correct_inside_fold,0.10825371667610445,0.5676874933179379
smote_leaky_before_split,1.0,
