fold,model,pr_auc,roc_auc
1,xgboost_tuned,0.11642980169665026,0.5884544407364136
2,xgboost_tuned,0.11848423172354838,0.5855831574166755
3,xgboost_tuned,0.12393895609221245,0.5918733346237283
4,xgboost_tuned,0.11436491152364979,0.5920649512819358
5,xgboost_tuned,0.12223840488513939,0.6061231637693245
