,0
29848,0.4440465959219092
29849,0.4113658648149517
29850,0.43665999480834394
29851,0.38811774303532565
29852,0.2855596576367243
29853,0.34356221232342926
29854,0.416326583895511
29855,0.38612760854958167
29856,0.4095558385817495
29857,0.4609555663212373
29858,0.29814976318979436
29859,0.3953419569436122
29860,0.3072268755075356
29861,0.39859908109498393
29862,0.3216478997800351
29863,0.39919634517347913
29864,0.3902814531300105
29865,0.5774944361310391
29866,0.4385377517525357
29867,0.3706773941157383
29868,0.3060564552921588
29869,0.4342377699253324
29870,0.272352772650922
29871,0.3348982775790999
29872,0.39520837045756724
29873,0.3842927384784673
29874,0.44938464672290573
29875,0.3568856375391101
29876,0.33219836719112267
29877,0.2481861556210198
29878,0.3946354341649909
29879,0.41255278575230897
29880,0.4119175394927247
29881,0.5889255408574113
29882,0.421614049543559
29883,0.37283232992737303
29884,0.3342132494569457
29885,0.4301907931902239
29886,0.40118953527627094
29887,0.3727582493517074
29888,0.22820194878075029
29889,0.38106857562483126
29890,0.3894733241673078
29891,0.34948872971777134
29892,0.34549838995129606
29893,0.25837791802771143
29894,0.40771705916884704
29895,0.3810885240533533
29896,0.4030378796253826
29897,0.3644365780112895
29898,0.3975511365469317
29899,0.45751635196519735
29900,0.40934407339464945
29901,0.3765941676585696
29902,0.42583964228158155
29903,0.4110030982750228
29904,0.44126814810325743
29905,0.49800784442258844
29906,0.43235094980755967
29907,0.35376564121924525
29908,0.3712621613246023
29909,0.3238452314934101
29910,0.43506256645347785
29911,0.3926189881218213
29912,0.31212752152429873
29913,0.3772007336736459
29914,0.2910965601330664
29915,0.28436268084798993
29916,0.2814659447546794
29917,0.33131361010262533
29918,0.30373419756893716
29919,0.3088741496079415
29920,0.36168979402132706
29921,0.33693699355736484
29922,0.366833992066449
29923,0.28184306332841086
29924,0.3395132085770803
29925,0.3586834993844996
29926,0.2861974803456663
29927,0.37061972407623217
29928,0.38661512208926724
29929,0.41622217786250937
29930,0.38103534772606457
29931,0.32582470042644046
29932,0.3195509474682004
29933,0.34343373325508014
29934,0.3096303619673208
29935,0.356069715344033
29936,0.3624007767583157
29937,0.2904314543780604
29938,0.39236296335750936
29939,0.3443019163249025
29940,0.3877022630833856
29941,0.382644649076436
29942,0.36020329497347586
29943,0.28203866778861664
29944,0.311092440087454
29945,0.3290369811268503
29946,0.35382942820263874
29947,0.39614478022467436
29948,0.3033116583309358
29949,0.3240856080713761
29950,0.34489812514340995
29951,0.33706688013645364
29952,0.29737730524232736
29953,0.347807873589221
29954,0.42293176635445645
29955,0.37596736052437996
29956,0.2775277116775371
29957,0.33271131516508085
29958,0.3591694492701261
29959,0.4234883196513288
29960,0.3253771035534865
29961,0.3584367197833789
29962,0.28657191062886433
29963,0.39812394345250063
29964,0.3468044722509079
29965,0.3234124036874879
29966,0.3353159333221006
29967,0.3918475266835307
29968,0.3175937471576016
29969,0.2594257076765775
29970,0.31751914785002094
29971,0.4096569898269715
29972,0.32023242839449534
29973,0.30344234529438835
29974,0.3415430668991322
29975,0.38422535540975705
29976,0.38547775130931067
29977,0.3096465615949681
29978,0.35454700105907067
29979,0.3343996644095093
29980,0.34655516129647107
29981,0.36945611619148094
29982,0.3323619454464681
29983,0.36600996192746493
29984,0.2826220561259775
29985,0.36227227264723844
29986,0.34342392573841
29987,0.27401796240280024
29988,0.3478167491637743
29989,0.19676571685056687
29990,0.26090842738565206
29991,0.3383381958905777
29992,0.36459602746402664
29993,0.3160367025107163
29994,0.3896138307549486
29995,0.29324473989880934
29996,0.3477039469970679
29997,0.32163020148517035
29998,0.2974250305772786
29999,0.30994181493961537
30000,0.31967655238168896
30001,0.31985432121737917
30002,0.32697022181224017
30003,0.35676749633134497
30004,0.28349715774451834
30005,0.33553688324287384
30006,0.27061011192536183
30007,0.37125695491658284
30008,0.3476294180697389
30009,0.30116155799570776
30010,0.3486688412419302
30011,0.3577054483549339
30012,0.3677877228976319
30013,0.3258184482269733
30014,0.37548977197779543
30015,0.3670372153911716
30016,0.3727815483435928
30017,0.3292390356513353
30018,0.2625941678487583
30019,0.333636809465672
30020,0.2955865720799095
30021,0.39546441939819443
30022,0.2521902794267724
30023,0.32259248505633703
30024,0.3462643082363132
30025,0.3720145857190532
30026,0.4081179546676212
30027,0.3716367399469607
30028,0.2522212478487973
30029,0.41563631403097967
30030,0.3480396254454038
30031,0.29637955130061117
30032,0.35921716146097743
30033,0.2823160608889163
30034,0.24435444050584104
30035,0.3135953019687257
30036,0.29346104060089623
30037,0.26793008678444585
30038,0.3396877757492149
30039,0.3362394970684707
30040,0.2878354192256878
30041,0.40464842973174825
30042,0.28382121128080506
30043,0.35260785183597076
30044,0.34308439895492937
30045,0.2934885740551749
30046,0.30783659403464725
30047,0.36825645683198505
30048,0.35949363660018463
30049,0.26977562264141125
30050,0.2747260113696637
30051,0.25519224370742144
30052,0.2983446448333099
30053,0.285211460751415
30054,0.22756208484393647
30055,0.32232678921081
30056,0.2945404802501726
30057,0.3421361051592383
30058,0.3318754558365656
30059,0.39951090860423266
30060,0.2868935588620775
30061,0.35305363362987124
30062,0.32640670761989365
30063,0.376036938901759
30064,0.31917321780106644
30065,0.33926476974266206
30066,0.3636593843481802
30067,0.3694991334246044
30068,0.30958705491356703
30069,0.31867297622611235
30070,0.33387109061010456
30071,0.32165920929091224
30072,0.3358350727118724
30073,0.36831197199457855
30074,0.2641493004703817
30075,0.3598235943063989
30076,0.3361394789675386
30077,0.35300588311959025
30078,0.28492620347673847
30079,0.3435003234059263
30080,0.3206077423961707
30081,0.3426303130874693
30082,0.3027339147509212
30083,0.39064274586816067
30084,0.36376285433128813
30085,0.39016917267019474
30086,0.3631326574812347
30087,0.2899314126297933
30088,0.25867432156633946
30089,0.33677427484780637
30090,0.36125325632133887
30091,0.3496856261602626
30092,0.3517768707347131
30093,0.3230032526367878
30094,0.3162038515819456
30095,0.3431478406429664
30096,0.3568216981660176
30097,0.33879644026417743
30098,0.33088839903549694
30099,0.25812943130354654
30100,0.3817534912204415
30101,0.32219393707963634
30102,0.35064541979060215
30103,0.3555652525402209
30104,0.3102448846697739
30105,0.3391248323932903
30106,0.3446933963434931
30107,0.39052076594881396
30108,0.3600971291682069
30109,0.34204929038368076
30110,0.34570268306168883
30111,0.37580694085135463
30112,0.30726136572958634
30113,0.3606148004869039
30114,0.3246883718995693
30115,0.34727186145314637
30116,0.2854489636715091
30117,0.3442024906941707
30118,0.2417653052225433
30119,0.314822551364189
30120,0.25643708497111245
30121,0.3905726139025384
30122,0.3778251172416743
30123,0.3599248571145318
30124,0.31140674565472437
30125,0.308364004937325
30126,0.3525036663677535
30127,0.4088715868036602
30128,0.36180487372690523
30129,0.2810836927059815
30130,0.3068384291952244
30131,0.3413059755615315
30132,0.22102170389062753
30133,0.38023378600431634
30134,0.3719871321539226
30135,0.3576568010502044
30136,0.29945457849630686
30137,0.34730065529586
30138,0.2931306341549963
30139,0.3425910174037642
30140,0.3520520103083097
30141,0.37297291187432846
30142,0.4438241056290926
30143,0.35919429355097887
30144,0.29845441157818553
30145,0.3640907975878845
30146,0.3267437938368097
30147,0.363099115648904
30148,0.3991091289335363
30149,0.32824891417191954
30150,0.3481641067676618
30151,0.339282258343041
30152,0.35959864715892825
30153,0.388261583115934
30154,0.356909652767302
30155,0.25230049216083383
30156,0.23624628305094542
30157,0.25908754097807635
30158,0.4079291625843465
30159,0.2952515001352216
30160,0.35435323587074885
30161,0.3738991890827273
30162,0.3648414458825216
30163,0.3635090404186387
30164,0.32004821041713283
30165,0.35065153216721306
30166,0.32194842999396833
30167,0.27283584330081573
30168,0.32244191665044963
30169,0.35985963294976364
30170,0.3335727695040779
30171,0.29189173120307227
30172,0.38230115268834614
30173,0.372763976663188
30174,0.3896202721029954
30175,0.3849340285403136
30176,0.3822928814383191
30177,0.20263090664426237
30178,0.4002816050997276
30179,0.3639052729510485
30180,0.36164480778130376
30181,0.39397761493848216
30182,0.4716127949971534
30183,0.37313537159924515
30184,0.37698715677189926
30185,0.39479013676910424
30186,0.33979330628021065
30187,0.40587330207729266
30188,0.41946250124255585
30189,0.23131644591149012
30190,0.2681209832489316
30191,0.4421139520751007
30192,0.40526881960121736
30193,0.5510091596374171
30194,0.39537322412988674
30195,0.4666678318482
30196,0.41950762815375486
30197,0.38938649972647854
30198,0.41892390673703467
30199,0.39544450168250067
30200,0.44482143052268336
30201,0.36660279809510327
30202,0.42566542608603786
30203,0.391213079706135
30204,0.3708103301389656
30205,0.3621057017685169
30206,0.42320776411584027
30207,0.4428704870495641
30208,0.4125427413688063
30209,0.3990621252762789
30210,0.30873787991606266
30211,0.2882562869222433
30212,0.31406006360797417
30213,0.3584300896222958
30214,0.3919542391902722
30215,0.28114568230608455
30216,0.4345165269087063
30217,0.45775770300730423
30218,0.398318851561672
30219,0.41267479713649613
30220,0.5744999447912487
30221,0.29785524606107133
30222,0.42745910781399554
